Techniques,Rule
PERSISTENCE,sigma-master/rules/macos/file_event/file_event_macos_startup_items.yml
PRIVILEGE_ESCALATION,sigma-master/rules/macos/file_event/file_event_macos_startup_items.yml
T1037,sigma-master/rules/macos/file_event/file_event_macos_startup_items.yml
PERSISTENCE,sigma-master/rules/macos/file_event/file_event_macos_emond_launch_daemon.yml
PRIVILEGE_ESCALATION,sigma-master/rules/macos/file_event/file_event_macos_emond_launch_daemon.yml
T1546,sigma-master/rules/macos/file_event/file_event_macos_emond_launch_daemon.yml
EXECUTION,sigma-master/rules/macos/process_creation/proc_creation_macos_applescript.yml
T1059,sigma-master/rules/macos/process_creation/proc_creation_macos_applescript.yml
CREDENTIAL_ACCESS,sigma-master/rules/macos/process_creation/proc_creation_macos_find_cred_in_files.yml
T1552,sigma-master/rules/macos/process_creation/proc_creation_macos_find_cred_in_files.yml
DISCOVERY,sigma-master/rules/macos/process_creation/proc_creation_macos_local_account.yml
T1087,sigma-master/rules/macos/process_creation/proc_creation_macos_local_account.yml
DEFENSE_EVASION,sigma-master/rules/macos/process_creation/proc_creation_macos_clear_system_logs.yml
T1070,sigma-master/rules/macos/process_creation/proc_creation_macos_clear_system_logs.yml
DISCOVERY,sigma-master/rules/macos/process_creation/proc_creation_macos_system_network_connections_discovery.yml
T1049,sigma-master/rules/macos/process_creation/proc_creation_macos_system_network_connections_discovery.yml
DEFENSE_EVASION,sigma-master/rules/macos/process_creation/proc_creation_macos_change_file_time_attr.yml
T1070,sigma-master/rules/macos/process_creation/proc_creation_macos_change_file_time_attr.yml
DISCOVERY,sigma-master/rules/macos/process_creation/proc_creation_macos_system_network_discovery.yml
T1016,sigma-master/rules/macos/process_creation/proc_creation_macos_system_network_discovery.yml
IMPACT,sigma-master/rules/macos/process_creation/proc_creation_macos_susp_macos_firmware_activity.yml
DEFENSE_EVASION,sigma-master/rules/macos/process_creation/proc_creation_macos_create_hidden_account.yml
T1564,sigma-master/rules/macos/process_creation/proc_creation_macos_create_hidden_account.yml
DEFENSE_EVASION,sigma-master/rules/macos/process_creation/proc_creation_macos_xattr_gatekeeper_bypass.yml
